nan,-1.0,-0.95,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.2,0.0
1.0,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000
.70,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000
.60,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000,.0000
.50,.0522,.0420,.0330,.0190,.0100,.0040,.0012,.0000,.0000,.0000
.40,.1467,.1200,.0972,.0630,.0395,.0214,.0116,.0044,.0000,.0000
.30,.2306,.2040,.1790,.1333,.0943,.0623,.0376,.0202,.0033,.0000
.25,.2598,.2372,.2115,.1651,.1246,.0899,.0579,.0350,.0084,.0000
.20,.2826,.2630,.2400,.1967,.1570,.1207,.0880,.0592,.0172,.0000
.15,.3000,.2824,.2650,.2300,.1950,.1610,.1280,.0955,.0365,.0000
