nan,1.0,0.95,0.9,0.85,0.8,0.7,0.6,0.5,0.4,0.2,0.0
1.0,.0000,.0975,.1900,.2775,.3600,.5100,.6400,.7500,.8400,.9600,1.
.90,.0000,.0975,.1900,.2775,.3600,.5100,.6400,.7500,.8400,.9600,1.
.85,.0000,.1000,.1950,.2830,.3660,.5160,.6455,.7550,.8450,.9615,1.
.80,.0000,.1050,.2028,.2925,.3765,.5265,.6545,.7635,.8520,.9635,1.
.70,.0000,.1240,.2337,.3300,.4140,.5615,.6840,.7850,.8660,.9675,1.
.60,.0000,.1485,.2720,.3775,.4620,.6060,.7200,.8090,.8790,.9690,1.
.50,.0000,.1750,.3056,.4135,.5039,.6430,.7478,.8275,.8880,.9710,1.
.40,.0000,.1935,.3235,.4335,.5220,.6590,.7593,.8345,.8933,.9725,1.
.30,.0000,.1890,.3197,.4265,.5130,.6505,.7520,.8315,.8920,.9750,1.
.25,.0000,.1758,.3042,.4108,.4982,.6359,.7415,.8259,.8899,.9751,1.
.20,.0000,.1560,.2840,.3905,.4777,.6180,.7277,.8170,.8875,.9750,1.
.15,.0000,.1300,.2600,.3665,.4520,.5985,.7105,.8055,.8825,.9760,1.
